Country,Variable Name,_Note_,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Georgia,Distribution of earnings: Gini coefficient,   ,0.301,   ,   ,0.369,0.4,   ,   ,   ,0.498,   ,   ,   ,   ,   
Georgia,Distribution of income: Gini coefficient,g o,0.28,   ,   ,   ,   ,   ,   ,   ,   ,0.503,   ,   ,0.458,0.454
Kazakhstan,Distribution of earnings: Gini coefficient,b,0.276,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Kazakhstan,Distribution of income: Gini coefficient,g,0.281,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Kyrgyzstan,Distribution of earnings: Gini coefficient,b e,0.26,   ,   ,0.3,0.445,0.443,0.395,0.428,0.431,0.429,0.466,0.47,0.512,0.49
Kyrgyzstan,Distribution of income: Gini coefficient,g p,0.27,   ,   ,   ,   ,   ,   ,   ,   ,0.411,0.399,0.414,0.377,0.382
Tajikistan,Distribution of earnings: Gini coefficient,b,0.276,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Tajikistan,Distribution of income: Gini coefficient,g q,0.281,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.47,   ,   ,   
Turkmenistan,Distribution of earnings: Gini coefficient,b f,0.255,   ,   ,   ,   ,   ,   ,   ,0.249,0.209,0.265,   ,   ,   
Turkmenistan,Distribution of income: Gini coefficient,g,0.279,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Uzbekistan,Distribution of earnings: Gini coefficient,b,0.257,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Uzbekistan,Distribution of income: Gini coefficient,g,0.28,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
